sampleId,siteName,daynum,lat,long,elev_sqrt,precip,temp,east,Eco2,Eco3
108293,PNW-023,209,42.6375,-122.316,35.4,1194,128,0,WC,Ca
108295,PNW-025,210,43.1132,-122.518,28.6,1295,140,0,WC,Ca
108303,PNW-033,229,43.8753,-122.072,30.1,1702,127,0,WC,Ca
108304,PNW-034,220,44.153,-122.171,23.7,1600,158,0,WC,Ca
108323,PNW-107,220,44.1617,-122.168,20.9,1448,158,0,WC,Ca
108366,PNW-240,223,44.7074,-121.921,31.8,2007,132,0,WC,Ca
108369,PNW-243,224,44.9504,-122.169,26.1,2210,120,0,WC,Ca
109370,PNW-104,207,42.0472,-123.27,31.4,1397,131,0,WC,KlMts
109845,PNW-004,187,43.8856,-123.935,9,2057,165,0,MWCF,CoRa
109907,PNW-233,219,43.9788,-122.555,19.2,1600,160,0,WC,Ca
109909,PNW-235,220,44.1079,-122.018,26.6,1905,139,0,WC,Ca
109910,PNW-236,220,44.0588,-122.01,28.8,1905,131,0,WC,Ca
109913,PNW-239,223,44.4951,-121.923,36.8,2057,116,0,WC,Ca
109915,PNW-241,223,44.7392,-121.886,30.4,2007,132,0,WC,Ca
111019,PNW-418,184,42.0424,-123.982,20.3,2565,164,0,WC,KlMts
111021,PNW-417,185,42.053,-123.971,20.2,2718,167,0,WC,KlMts
111022,PNW-422,186,42.5854,-123.904,32.9,4191,160,0,WC,KlMts
111040,PNW-455,200,42.945,-122.655,27.8,1194,130,0,WC,Ca
111044,PNW-751,202,43.2135,-122.128,39.8,1295,117,0,WC,Ca
111113,PNW-479,220,44.0492,-122.207,27.9,1803,148,0,WC,Ca
111116,PNW-822,221,43.0092,-122.518,30.7,1194,126,0,WC,Ca
111121,PNW-824,223,43.3131,-122.087,36.3,1397,122,0,WC,Ca
111137,PNW-495,228,44.4075,-122.284,21.4,2007,138,0,WC,Ca
111138,PNW-494,228,44.3988,-122.346,19.6,2007,151,0,WC,Ca
111140,PNW-493,229,44.8556,-122.167,28.5,2667,124,0,WC,Ca
111145,PNW-502,230,45.481,-122.025,21.7,2261,145,0,WC,Ca
111148,PNW-496,231,45.1614,-122.112,18.7,1803,147,0,WC,Ca
111149,PNW-499,229,45.2993,-122.101,22.4,2210,133,0,WC,Ca
113045,PNW-021,208,42.1461,-122.715,31.1,838,133,0,WC,KlMts
113048,PNW-024,209,42.5597,-122.278,37.9,1346,119,0,WC,Ca
113059,PNW-035,223,44.5187,-122.214,24.7,2311,130,0,WC,Ca
113100,PNW-221,210,43.5473,-122.724,25.8,1702,151,0,WC,Ca
113114,PNW-234,219,43.9735,-122.544,18.5,1549,160,0,WC,Ca
113118,PNW-238,223,44.1268,-122.004,26.4,1854,148,0,WC,Ca
113789,PIBO:0860,201,45.956913,-117.7904,30,940,129,1,WC,BlMts
114305,PIBO:1060,235,44.4023,-120.1708,38.5,584,121,1,WC,BlMts
114320,PIBO:1749,221,45.0412,-117.4404,38.1,1092,100,1,WC,BlMts
117774,PIBO:0932,234,44.958861,-118.12664,40,686,117,1,WC,BlMts
119633,PIBO:0901,229,45.229408,-117.35795,45.6,1549,75,1,WC,BlMts
121254,ES-REF-001,180,42.2351,-118.15,38.4,330,146,1,CD,NBR
121257,ES-REF-004,184,43.2138,-121.937,41.3,991,120,1,WC,ECa
121258,ES-REF-005,185,42.5601,-122.13,38.6,1346,125,0,WC,Ca
121259,ES-REF-006,186,43.0018,-121.298,42.1,991,117,1,WC,ECa
121261,ES-REF-008,188,42.4886,-120.751,42.2,737,122,1,WC,ECa
121262,ES-REF-009,189,42.4919,-119.697,43,483,128,1,CD,NBR
121271,ES-REF-018,205,45.9891,-118.06,26.9,1041,135,1,WC,BlMts
121276,ES-REF-023,210,45.1567,-117.612,36.2,1041,94,1,WC,BlMts
121277,ES-REF-024,211,45.1104,-117.021,37.3,1295,105,1,WC,BlMts
121279,ES-REF-026,215,44.2587,-118.775,40,686,113,1,WC,BlMts
121281,ES-REF-028,217,44.2518,-118.315,39.6,737,118,1,WC,BlMts
121282,ES-REF-029,224,44.5869,-121.683,31.1,737,130,1,WC,ECa
121284,ES-REF-031,226,45.3117,-121.376,28.4,584,138,1,WC,ECa
151721,33419BLY,262,43.88704,-123.9703,11,2108,165,0,MWCF,CoRa
154173,PIBO:0927,201,44.840833,-118.13749,44.4,889,111,1,WC,BlMts
156883,PIBO:1432,225,45.0716,-117.47463,40.5,1194,93,1,WC,BlMts
173806,11850-ORDEQ,208,44.18771584,-124.09122,7.4,2108,161,0,MWCF,CoRa
173934,12092-ORDEQ,226,42.45842568,-124.04997,19.3,2515,187,0,WC,KlMts
173939,12181-ORDEQ,199,45.09122399,-118.5318,38.1,737,118,1,WC,BlMts
174027,12265-ORDEQ,280,42.80099163,-118.8674885,36,330,155,1,CD,NBR
174054,12521-ORDEQ,240,43.96318479,-123.9711468,9,2261,165,0,MWCF,CoRa
174057,12889-ORDEQ,179,44.51047085,-121.7078969,30.9,584,142,1,WC,ECa
174078,13014-ORDEQ,279,42.63878766,-118.763194,39.4,533,128,1,CD,NBR
174169,13231-ORDEQ,217,45.26243472,-121.92068,22.9,2007,125,0,WC,Ca
174170,13244-ORDEQ,252,43.49047317,-122.72469,25.6,1651,157,0,WC,Ca
174172,13269-ORDEQ,239,42.16686007,-118.2245519,40.7,432,142,1,CD,NBR
174173,13270-ORDEQ,239,42.2341422,-118.2334271,38.1,229,154,1,CD,NBR
174306,21814-ORDEQ,256,42.17347778,-123.91227,25.5,3429,166,0,WC,KlMts
174313,21821-ORDEQ,225,45.26878201,-121.93954,22.5,2057,132,0,WC,Ca
174363,21842-ORDEQ,243,44.54013633,-123.85332,13.4,2261,165,0,MWCF,CoRa
174379,21848-ORDEQ,237,42.04548588,-123.9799202,19.6,2616,164,0,WC,KlMts
174384,21851-ORDEQ,222,42.38052777,-123.8139835,17.4,2261,172,0,WC,KlMts
174387,21855-ORDEQ,208,44.51911383,-122.1913,25.2,2261,130,0,WC,Ca
174393,21864-ORDEQ,265,44.73862314,-121.88874,30.4,2007,132,0,WC,Ca
174394,21865-ORDEQ,251,45.59506025,-121.86972,16.2,2362,129,0,WC,Ca
174399,21868-ORDEQ,243,44.847575,-122.073,29.3,2108,129,0,WC,Ca
174408,21876-ORDEQ,271,45.3975252,-121.59067,33.3,2159,100,0,WC,Ca
174411,21878-ORDEQ,257,43.54217608,-122.7188969,28.1,1753,151,0,WC,Ca
174415,21881-ORDEQ,194,43.73890061,-122.48579,19.1,1245,160,0,WC,Ca
174420,21884-ORDEQ,229,43.69975913,-122.10088,33,1702,114,0,WC,Ca
174426,22946-ORDEQ,234,44.93055077,-122.05389,27.6,2108,127,0,WC,Ca
174429,23034-ORDEQ,236,42.84442928,-118.8204653,37,330,163,1,CD,NBR
174440,23049-ORDEQ,237,42.66783068,-118.7279966,40.3,635,128,1,CD,NBR
174442,23050-ORDEQ,238,42.67370622,-118.7928333,38.6,432,133,1,CD,NBR
174511,23844-ORDEQ,193,41.97522828,-123.0660325,32.3,1361,125,0,WC,KlMts
174530,23856-ORDEQ,194,44.02309197,-122.1461,31.1,1854,143,0,WC,Ca
174547,23901-ORDEQ,251,45.2334662,-121.8815,26.9,1956,115,0,WC,Ca
174549,23903-ORDEQ,235,44.01672239,-122.1513791,27.6,1854,143,0,WC,Ca
174571,23925-ORDEQ,241,43.862857,-122.13559,29,1651,137,0,WC,Ca
174572,23926-ORDEQ,235,44.04193274,-122.1951,24.4,1803,148,0,WC,Ca
174575,24040-ORDEQ,250,45.34399373,-121.6155788,39.3,2108,86,0,WC,Ca
174578,24043-ORDEQ,229,45.02463817,-117.1915688,40.1,1346,96,1,WC,BlMts
174579,24044-ORDEQ,257,44.79537933,-121.75178,37.8,2210,112,0,WC,Ca
174580,24046-ORDEQ,223,44.26580281,-118.87895,37.1,483,120,1,WC,BlMts
174586,24056-ORDEQ,257,45.40608205,-117.67563,32.1,889,105,1,WC,BlMts
174591,24062-ORDEQ,256,45.97780101,-117.60066,25.1,635,131,1,WC,BlMts
174596,24068-ORDEQ,221,45.59192523,-118.304129,27.9,838,135,1,WC,BlMts
174605,24412-ORDEQ,234,43.55436247,-122.20504,37.2,1651,131,0,WC,Ca
174618,24419-ORDEQ,228,42.94310673,-121.2588,43.8,1041,115,1,WC,ECa
174628,24422-ORDEQ,237,42.04382158,-118.29444,45,533,119,1,CD,NBR
174636,24426-ORDEQ,200,44.33312788,-118.6426763,41.5,787,129,1,WC,BlMts
174686,24452-ORDEQ,234,44.393335,-122.259898,24.4,2057,134,0,WC,Ca
174687,24453-ORDEQ,242,44.83197239,-122.2003459,26.7,2464,128,0,WC,Ca
174688,24454-ORDEQ,249,45.43396353,-121.6686134,33,2616,108,0,WC,Ca
174740,25273-ORDEQ,255,44.54205067,-122.2195875,32.4,2667,130,0,WC,Ca
174749,25284-ORDEQ,219,43.79795482,-122.1379974,33.9,1702,124,0,WC,Ca
174791,25374-ORDEQ,213,44.86288322,-122.28132,27.3,2464,130,0,WC,Ca
174808,25386-ORDEQ,249,45.6902163,-123.71855,11.3,3683,149,0,MWCF,CoRa
174848,25417-ORDEQ,198,45.05123042,-118.66512,37.7,737,116,1,WC,BlMts
174856,25425-ORDEQ,211,44.9078217,-118.31402,41.3,838,108,1,WC,BlMts
174900,26806-ORDEQ,247,43.95505179,-121.9862,31,1803,125,0,WC,Ca
174932,26854-ORDEQ,225,43.09823753,-122.40954,38.9,1448,114,0,WC,Ca
174944,26886-ORDEQ,197,44.35125601,-119.4124279,40.5,533,131,1,WC,BlMts
174961,26902-ORDEQ,197,44.95524401,-118.54964,40.9,787,113,1,WC,BlMts
174963,26906-ORDEQ,204,44.96195907,-118.6079578,40.5,737,120,1,WC,BlMts
174975,26929-ORDEQ,192,45.30121625,-121.44904,35,940,120,1,WC,ECa
174983,26936-ORDEQ,211,44.34524691,-119.6512194,35.2,533,125,1,WC,BlMts
175000,26950-ORDEQ,212,44.54930084,-122.0749377,34.7,2210,131,0,WC,Ca
175002,26952-ORDEQ,248,43.9513024,-122.11595,30,1803,134,0,WC,Ca
175008,26958-ORDEQ,253,45.2714356,-117.46621,40.6,1549,84,1,WC,BlMts
175018,26966-ORDEQ,256,45.15879612,-117.31893,46.1,1753,77,1,WC,BlMts
175045,29027-ORDEQ,220,45.59741,-123.26862,13.6,1651,153,0,MWCF,WV
175080,29879-ORDEQ,238,43.61980466,-122.18884,38.3,1600,137,0,WC,Ca
175141,30343-ORDEQ,226,45.38725893,-121.63345,40.8,3175,100,0,WC,Ca
175154,30354-ORDEQ,239,45.41097041,-121.9480751,29.9,2769,120,0,WC,Ca
175163,30379-ORDEQ,204,45.01549922,-118.60358,39.5,787,117,1,WC,BlMts
175166,30382-ORDEQ,204,44.78450285,-118.69614,42.8,838,110,1,WC,BlMts
175167,30383-ORDEQ,205,44.71657046,-118.7034993,37.8,635,127,1,WC,BlMts
175173,30389-ORDEQ,209,44.23681171,-118.7644486,39.2,686,121,1,WC,BlMts
175178,30392-ORDEQ,211,44.30067471,-118.69052,44.4,1092,118,1,WC,BlMts
175182,30396-ORDEQ,239,44.37477823,-118.4465628,40.6,787,126,1,WC,BlMts
175228,30621-ORDEQ,266,46.0577306,-123.53713,17.8,2972,141,0,MWCF,CoRa
175234,30623-ORDEQ,272,44.87841793,-122.0416,29.1,1956,122,0,WC,Ca
175236,30624-ORDEQ,232,44.8884264,-122.14237,30.4,2565,123,0,WC,Ca
175237,30625-ORDEQ,230,44.91698913,-122.16762,28.9,2311,123,0,WC,Ca
175239,30628-ORDEQ,245,45.62197045,-121.95207,7.2,1905,147,0,WC,Ca
175241,30629-ORDEQ,196,45.67850558,-121.83534,13.3,2362,156,0,WC,Ca
175243,30727-ORDEQ,245,45.4746125,-123.48771,18.1,2515,132,0,MWCF,CoRa
175247,31354-ORDEQ,189,44.88191461,-122.1696426,30.3,2515,124,0,WC,Ca
175268,31387-ORDEQ,190,44.88990732,-122.00845,26.8,1905,122,0,WC,Ca
175283,31467-ORDEQ,261,42.27821899,-124.0412921,12,2565,173,0,WC,KlMts
175284,31477-ORDEQ,197,45.68637773,-121.76515,11.4,1803,153,0,WC,Ca
175289,31480-ORDEQ,217,45.3718058,-121.77785,32.7,2565,77,0,WC,Ca
175292,31485-ORDEQ,215,45.3761635,-121.8500427,26.7,2565,122,0,WC,Ca
175293,31488-ORDEQ,182,42.59080422,-118.5990926,44.1,991,123,1,CD,NBR
175294,31489-ORDEQ,182,42.60174607,-118.5941084,45.4,1092,123,1,CD,NBR
175295,31490-ORDEQ,180,42.67780567,-118.5160785,39.6,635,118,1,CD,NBR
175297,31495-ORDEQ,176,42.38239777,-119.7212333,42.3,381,131,1,CD,NBR
175303,31497-ORDEQ,176,42.47804568,-119.7842574,39.6,381,141,1,CD,NBR
175320,31729-ORDEQ,244,43.33036307,-122.5088,26.6,1245,154,0,WC,Ca
175322,31730-ORDEQ,245,43.64372,-122.03097,38.4,1753,112,0,WC,Ca
175323,31803-ORDEQ,273,45.39128477,-121.8046895,29.4,2667,113,0,WC,Ca
175330,32149-ORDEQ,215,43.30386431,-122.5290712,22.4,1194,163,0,WC,Ca
175336,32481-ORDEQ,194,44.81401,-118.78068,42.6,686,126,1,WC,BlMts
175343,32485-ORDEQ,194,42.71660076,-124.3069243,12.3,3175,167,0,MWCF,CoRa
175345,32486-ORDEQ,194,42.74012054,-124.3988001,8.3,2921,168,0,MWCF,CoRa
175346,32487-ORDEQ,194,42.7126858,-124.318103,12.9,3175,171,0,MWCF,CoRa
175348,32488-ORDEQ,209,42.1759959,-123.9169732,25.2,3429,166,0,WC,KlMts
175350,32490-ORDEQ,210,42.18128,-123.85444,26.4,3683,168,0,WC,KlMts
175367,32555-ORDEQ,213,43.23081553,-122.5928591,39.1,1346,143,0,WC,Ca
175372,32576-ORDEQ,250,42.65687187,-123.67716,15.5,1295,158,0,WC,KlMts
175373,32577-ORDEQ,250,42.659685,-123.6597058,15.5,1092,158,0,WC,KlMts
175380,32585-ORDEQ,258,42.347328,-123.78397,17.8,1905,172,0,WC,KlMts
175510,33342-ORDEQ,249,44.4755002,-123.9456124,9,2108,166,0,MWCF,CoRa
175787,34468-ORDEQ,267,45.23585978,-123.6912087,16.8,3175,155,0,MWCF,CoRa
175788,34470-ORDEQ,212,42.80537372,-123.8467978,25.6,3175,153,0,MWCF,CoRa
175793,34477-ORDEQ,233,41.96302653,-123.1884554,29,1298,164,0,WC,KlMts
175805,34614-ORDEQ,239,45.17346493,-123.7771292,12,2972,154,0,MWCF,CoRa
175844,34636-ORDEQ,228,45.60330054,-123.7276904,12.5,3683,153,0,MWCF,CoRa
175864,34643-ORDEQ,261,44.13854378,-123.7049528,10.9,2057,172,0,MWCF,CoRa
175894,34661-ORDEQ,255,44.38244233,-123.8445889,8.1,2057,174,0,MWCF,CoRa
175958,34698-ORDEQ,235,42.7061,-124.0645,19.9,2769,175,0,MWCF,CoRa
176001,35633-ORDEQ,175,44.16558143,-121.674423,37.9,991,96,1,WC,ECa
176007,35694-ORDEQ,230,42.65874147,-124.0041959,10.5,2159,186,0,WC,KlMts
176008,35720-ORDEQ,253,45.31603343,-121.8361535,27.9,2311,110,0,WC,Ca
176014,35722-ORDEQ,210,43.0886944,-122.55415,26.8,1245,140,0,WC,Ca
176019,35745-ORDEQ,265,44.26658569,-124.1022023,4.8,2057,160,0,MWCF,CoRa
176022,35794-ORDEQ,193,42.7228506,-124.20182,17.1,2870,170,0,MWCF,CoRa
176029,35825-ORDEQ,230,45.3839508,-117.672,33,838,97,1,WC,BlMts
176036,35939-ORDEQ,224,45.14013136,-117.1694755,43.5,1600,85,1,WC,BlMts
176037,35940-ORDEQ,225,45.09875291,-117.120566,44.3,1600,91,1,WC,BlMts
176039,35952-ORDEQ,230,44.31249713,-118.3157958,44.6,940,114,1,WC,BlMts
176040,35953-ORDEQ,230,44.29245508,-118.3000091,43.5,940,114,1,WC,BlMts
176079,37278-ORDEQ,258,45.62765916,-123.7900982,12,3429,151,0,MWCF,CoRa
176136,38114-ORDEQ,181,45.51297187,-123.7231317,9.9,3175,152,0,MWCF,CoRa
176137,38116-ORDEQ,187,44.38582153,-123.8084792,13.4,2057,174,0,MWCF,CoRa
176138,38117-ORDEQ,232,44.05000197,-123.890598,7.9,2159,168,0,MWCF,CoRa
176139,38119-ORDEQ,231,43.95707828,-123.7095766,13.9,1651,168,0,MWCF,CoRa
176140,38120-ORDEQ,188,44.1701391,-124.0467212,10.8,2210,160,0,MWCF,CoRa
176141,38122-ORDEQ,189,44.20767477,-124.0703785,15.3,2311,161,0,MWCF,CoRa
176145,38128-ORDEQ,272,42.20259907,-123.9580696,27.6,3429,164,0,WC,KlMts
176146,38130-ORDEQ,278,45.3027281,-123.7258624,11.9,2616,158,0,MWCF,CoRa
176147,38131-ORDEQ,279,45.3553099,-123.5888604,19.9,2972,151,0,MWCF,CoRa
176148,38503-ORDEQ,210,42.40345839,-123.8800248,15.4,2616,179,0,WC,KlMts
176162,38552-ORDEQ,215,45.27747576,-121.4559764,28.7,838,120,1,WC,ECa
176165,38558-ORDEQ,202,45.62913297,-121.9022939,9.2,2311,142,0,WC,Ca
176176,38583-ORDEQ,231,44.03825792,-121.5715404,39.7,1092,93,0,WC,Ca
176177,38606-ORDEQ,271,45.32809178,-121.5256904,37.2,1905,99,0,WC,Ca
176234,dfw_2150,265,44.13977664,-123.8821962,13,2261,171,0,MWCF,CoRa
176366,DFW_8008,230,42.79303,-123.3774,22.8,1092,158,0,WC,KlMts
185355,103KLCMSR,257,41.85546,-123.85215,17.9,2114,199,0,WC,KlMts
185356,103PS0281,203,41.95452,-123.91289,19.6,2610,193,0,WC,KlMts
185357,R5BIO-401,221,41.8619,-123.96,11.6,2630,188,0,WC,KlMts
185358,R5BIO-406,220,41.81,-124.111,7.6,2026,168,0,MWCF,CoRa
185359,103WER030,222,41.85649,-123.91194,20.1,2875,175,0,WC,KlMts
185360,R5BIO-415,264,41.612018,-123.2922174,30.8,1869,173,0,WC,KlMts
185361,105FC1297,203,41.3286,-123.41992,18.8,1510,209,0,WC,KlMts
185362,R5BIO-416,267,41.6139,-123.281,30.6,1869,173,0,WC,KlMts
185363,R5BIO-425,222,41.3579,-123.074,29.4,1263,170,0,WC,KlMts
185364,105FS0428,215,41.44105,-123.35829,20.5,1912,178,0,WC,KlMts
185365,105PS0083,251,41.36469,-123.18717,30.6,1248,171,0,WC,KlMts
185366,105PS0275,231,41.55216,-123.07014,38.5,1319,130,0,WC,KlMts
185367,R5BIO-423,222,41.7366,-123.548,21.5,1853,186,0,WC,KlMts
185368,105WLCABC,215,41.44225,-123.35041,20.6,1900,189,0,WC,KlMts
185369,107GWCAPC,212,41.36789,-124.02434,7.1,1678,167,0,MWCF,CoRa
185370,107WER092,240,41.39996,-124.0579,6,1811,163,0,MWCF,CoRa
185371,505PS0110,259,41.09682211,-122.2011833,24.7,1727,202,0,WC,KlMts
185372,526CE0061,254,41.37625,-120.29183,45,706,121,1,WC,ECa
185373,R5BIO-048,176,41.3618,-120.282,45.4,706,121,1,WC,ECa
185374,526PS0076,239,41.27434,-120.26368,42.8,732,115,1,WC,ECa
185375,526PS1612,216,41.41223,-120.24468,46.5,795,109,1,WC,ECa
185376,639PS1279,162,40.7335,-120.11783,40.2,282,153,1,CD,NBR
185377,641OWC157,205,41.37691,-120.14454,38.7,387,162,1,CD,NBR
185378,R5BIO-403,228,41.8459,-124.029,10.8,2444,180,0,WC,KlMts
185379,103CDCHHR,257,41.7889,-124.07784,6,2125,172,0,MWCF,CoRa
185380,R5BIO-049,216,41.095661,-122.136006,24.1,1711,195,0,WC,KlMts
